method,task,final_value,expert_value,retention_pct
constrained,1,0.8347,0.8347,100.0
constrained,2,0.8345,0.8347,100.0
constrained,3,0.8337,0.8346,99.9
constrained,mean,0.8343,0.8347,100.0
unconstrained,1,0.8347,0.8347,100.0
unconstrained,2,0.8347,0.8347,100.0
unconstrained,3,0.2018,0.8346,24.2
unconstrained,mean,0.6237,0.8347,74.7
finetune,1,0.2106,0.8347,25.2
finetune,2,0.761,0.8347,91.2
finetune,3,0.8343,0.8346,100.0
finetune,mean,0.602,0.8347,72.1
joint,1,0.8346,0.8347,100.0
joint,2,0.8346,0.8347,100.0
joint,3,0.8346,0.8346,100.0
joint,mean,0.8346,0.8347,100.0
